NAME,GEO_ID,B01003_001E,C17002_002E,C17002_003E,C17002_004E,C17002_005E,B01001_023E,B01001_024E,B01001_025E,B01001_047E,B01001_048E,B01001_049E,B03002_002E,B03002_003E,B03002_012E,B03002_013E,B16004_007E,B16004_008E,B16004_012E,B16004_013E,B16004_017E,B16004_018E,B16004_022E,B16004_023E,B16004_029E,B16004_030E,B16004_034E,B16004_035E,B16004_039E,B16004_040E,B16004_044E,B16004_045E,B16004_051E,B16004_052E,B16004_056E,B16004_057E,B16004_061E,B16004_062E,B16004_066E,B16004_067E,state,county,tract,block group,poverty_ratio_sum,over_75_sum,total_minority_non_hispanic,total_minority_hispanic,total_minority,do_not_speak_english_very_well
"Block Group 1, Census Tract 424, Virginia Beach city, Virginia",518100424001,761,48,48,0,0,6,7,0,15,8,0,738,738,23,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,810,42400,1,96,36,0,14,14,0
"Block Group 2, Census Tract 424, Virginia Beach city, Virginia",518100424002,910,26,122,0,21,0,11,0,74,0,0,812,678,98,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,810,42400,2,169,85,134,90,224,0
"Block Group 3, Census Tract 424, Virginia Beach city, Virginia",518100424003,1570,53,82,61,48,18,13,12,29,26,14,1358,775,212,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,810,42400,3,244,112,583,194,777,0
"Block Group 4, Census Tract 424, Virginia Beach city, Virginia",518100424004,882,0,22,22,27,15,7,0,26,9,18,859,739,23,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,810,42400,4,71,75,120,11,131,0
"Block Group 1, Census Tract 426, Virginia Beach city, Virginia",518100426001,1103,36,0,9,10,9,47,0,62,10,21,1032,939,71,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,810,42600,1,55,149,93,17,110,0
"Block Group 2, Census Tract 426, Virginia Beach city, Virginia",518100426002,1176,23,45,0,59,0,0,0,28,18,11,1096,837,80,17,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,810,42600,2,127,57,259,63,322,17
"Block Group 1, Census Tract 428.01, Virginia Beach city, Virginia",518100428011,1560,84,151,0,78,9,20,0,0,9,27,1325,561,235,47,0,0,0,0,0,0,0,0,0,97,0,0,75,0,0,0,0,0,0,0,27,0,0,0,51,810,42801,1,313,65,764,188,952,199
"Block Group 2, Census Tract 428.01, Virginia Beach city, Virginia",518100428012,615,0,0,0,38,0,9,0,9,26,0,495,286,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,810,42801,2,38,44,209,120,329,0
"Block Group 3, Census Tract 428.01, Virginia Beach city, Virginia",518100428013,1220,92,304,38,80,8,8,0,14,10,9,1088,557,132,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,810,42801,3,514,49,531,87,618,0
"Block Group 4, Census Tract 428.01, Virginia Beach city, Virginia",518100428014,796,0,9,15,61,12,11,7,11,23,9,771,534,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,810,42801,4,85,73,237,25,262,0
